LOC,Frequency
1,1759676
2,73059
3,131137
4,84044
5,87460
6,66714
7,64454
8,52944
9,48728
10,41518
11,37904
12,32551
13,29823
14,26346
15,23923
16,20919
17,19546
18,17223
19,15558
20,13940
21,12864
22,11651
23,10717
24,9686
25,8759
26,7977
27,7370
28,6781
29,6218
30,5686
31,5335
32,4934
33,4627
34,4218
35,3920
36,3647
37,3365
38,3157
39,2910
40,2663
41,2531
42,2324
43,2170
44,2039
45,1974
46,1880
47,1644
48,1673
49,1482
50,1372
51,1358
52,1290
53,1233
54,1175
55,1132
56,1020
57,986
58,967
59,909
60,859
61,779
62,828
63,771
64,653
65,702
66,678
67,636
68,580
69,560
70,546
71,552
72,519
73,486
74,443
75,439
76,393
77,406
78,366
79,386
80,376
81,379
82,330
83,327
84,325
85,309
86,304
87,273
88,298
89,274
90,242
91,281
92,229
93,248
94,228
95,239
96,196
97,204
98,203
99,203
100,170
101,190
102,185
103,167
104,183
105,152
106,148
107,154
108,163
109,152
110,168
111,129
112,132
113,154
114,127
115,118
116,140
117,119
118,122
119,92
120,130
121,118
122,92
123,91
124,93
125,96
126,90
127,107
128,94
129,80
130,77
131,86
132,75
133,80
134,79
135,67
136,84
137,68
138,96
139,61
140,67
141,88
142,67
143,56
144,68
145,59
146,68
147,57
148,66
149,48
150,65
151,47
152,57
153,51
154,45
155,44
156,54
157,55
158,42
159,41
160,49
161,46
162,37
163,42
164,39
165,52
166,30
167,42
168,40
169,40
170,34
171,35
172,38
173,41
174,39
175,26
176,31
177,21
178,29
179,27
180,32
181,40
182,26
183,27
184,43
185,24
186,17
187,27
188,25
189,33
190,26
191,25
192,27
193,26
194,26
195,24
196,27
197,24
198,21
199,29
200,18
201,28
202,23
203,16
204,22
205,30
206,25
207,15
208,26
209,23
210,19
211,19
212,18
213,18
214,21
215,23
216,17
217,14
218,17
219,19
220,25
221,29
222,19
223,11
224,17
225,21
226,10
227,18
228,10
229,16
230,13
231,12
232,11
233,10
234,9
235,12
236,10
237,19
238,10
239,8
240,7
241,12
242,13
243,12
244,4
245,6
246,9
247,22
248,11
249,10
250,14
251,8
252,12
253,15
254,10
255,10
256,9
257,11
258,11
259,9
260,16
261,10
262,9
263,5
264,10
265,10
266,11
267,5
268,8
269,9
270,12
271,11
272,11
273,13
274,7
275,5
276,6
277,13
278,14
279,10
280,6
281,8
282,8
283,8
284,5
285,4
286,4
287,8
288,5
289,10
290,3
291,11
292,7
293,3
294,9
295,8
296,2
297,5
298,7
299,7
300,3
301,5
302,4
303,7
304,5
305,2
306,8
307,7
308,6
309,5
310,5
311,7
312,5
313,6
314,9
315,5
316,5
317,4
318,5
319,8
320,8
321,6
322,4
323,3
324,9
325,2
326,2
327,8
328,3
329,11
330,3
331,2
332,5
333,5
334,4
335,3
336,2
337,2
338,8
339,3
340,5
341,6
342,4
343,5
344,6
345,4
346,9
347,5
348,8
349,7
351,2
352,1
353,6
354,2
355,6
356,4
357,4
358,4
359,3
360,1
361,4
362,5
363,8
364,2
365,2
366,4
367,2
368,4
369,4
370,3
371,3
372,4
373,2
374,4
375,3
376,4
377,2
378,2
379,1
380,2
382,1
383,4
384,2
385,1
386,4
387,1
388,3
389,3
390,4
391,5
392,3
393,1
395,2
396,3
397,7
398,5
399,4
401,2
402,1
403,3
404,1
405,2
406,2
407,2
408,1
409,2
410,4
411,3
412,2
413,3
414,2
416,2
417,1
418,1
419,1
421,2
422,1
423,3
424,5
425,1
426,1
428,3
430,3
431,3
432,2
433,2
434,1
435,1
436,3
437,2
438,1
440,4
441,3
443,2
444,1
445,1
446,2
447,1
448,1
449,1
450,1
451,4
452,2
454,2
455,2
458,1
459,1
460,1
461,1
463,1
464,1
465,2
467,1
469,1
470,1
471,1
473,4
474,3
475,1
477,1
478,2
480,4
481,1
482,3
483,3
484,2
485,3
486,2
487,1
488,2
489,2
490,1
491,1
492,5
493,1
495,2
496,1
498,3
500,1
502,3
503,3
505,1
506,3
509,1
513,1
514,1
515,1
516,1
517,1
519,1
520,2
521,1
522,2
523,1
524,2
525,2
527,1
528,2
530,1
534,1
535,2
536,1
537,1
539,1
543,3
544,2
545,1
547,1
551,1
553,2
554,2
555,1
556,1
557,1
559,1
561,1
565,1
567,2
570,1
573,1
574,1
575,1
576,1
577,1
580,2
581,1
582,1
584,2
586,1
589,1
593,4
594,1
597,1
603,1
605,2
609,1
615,2
617,2
618,2
620,1
621,1
622,1
626,1
627,1
630,1
633,2
634,1
636,1
638,2
639,1
642,1
643,1
644,1
646,1
647,1
650,1
652,1
655,1
657,1
660,3
664,1
666,1
673,1
674,1
679,1
683,2
690,1
692,2
693,1
695,1
700,2
704,1
706,1
707,1
711,1
713,1
718,1
720,1
722,1
723,1
724,1
730,1
733,1
734,1
740,1
741,1
742,1
743,1
751,1
752,1
757,1
767,1
769,1
770,2
782,1
786,2
789,1
790,1
795,1
801,1
821,1
827,1
830,1
839,1
852,1
860,1
899,1
918,1
933,1
935,1
975,1
990,1
997,1
1019,1
1043,1
1064,1
1113,1
1133,1
1157,1